Time,Data1,Data2,Data3
2021-3-4-4-5-2,71,40,98
2021-3-4-4-5-3,73,42,99
2021-3-4-4-5-4,72,43,100
2021-3-4-4-5-5,74,46,98
2021-3-4-4-5-6,76,49,95
2021-3-4-4-5-7,76,48,94
2021-3-4-4-5-8,73,51,96
2021-3-4-4-5-9,76,51,95
2021-3-4-4-5-10,77,50,95
2021-3-4-4-5-11,80,48,94
2021-3-4-4-5-12,82,45,92
2021-3-4-4-5-13,83,47,91
2021-3-4-4-5-14,81,45,89
2021-3-4-4-5-15,78,43,91
2021-3-4-4-5-16,77,42,92
2021-3-4-4-5-17,74,44,93
2021-3-4-4-5-18,77,47,91
2021-3-4-4-5-19,78,44,89
2021-3-4-4-5-20,76,45,92
2021-3-4-4-5-21,75,43,94
2021-3-4-4-5-22,73,46,94
2021-3-4-4-5-23,74,46,94
2021-3-4-4-5-24,77,44,97
2021-3-4-4-5-25,76,43,98
2021-3-4-4-5-26,77,46,96
2021-3-4-4-5-27,74,44,95
2021-3-4-4-5-28,73,46,98
2021-3-4-4-5-29,70,44,98
2021-3-4-4-5-30,69,43,100
2021-3-4-4-5-31,69,42,99
2021-3-4-4-5-32,68,44,96
2021-3-4-4-5-33,70,41,96
2021-3-4-4-5-34,69,41,98
2021-3-4-4-5-35,72,40,100
2021-3-4-4-5-36,71,37,97
2021-3-4-4-5-37,68,34,100
2021-3-4-4-5-38,66,36,97
2021-3-4-4-5-39,69,36,95
2021-3-4-4-5-40,70,33,96
2021-3-4-4-5-41,72,31,93
2021-3-4-4-5-42,71,30,90
2021-3-4-4-5-43,69,31,92
2021-3-4-4-5-44,66,33,89
2021-3-4-4-5-45,63,30,92
2021-3-4-4-5-46,62,33,92
2021-3-4-4-5-47,59,32,89
2021-3-4-4-5-48,60,30,88
2021-3-4-4-5-49,63,30,88
2021-3-4-4-5-50,61,28,89
2021-3-4-4-5-51,62,28,89
2021-3-4-4-5-52,65,25,90
2021-3-4-4-5-53,64,27,88
2021-3-4-4-5-54,63,30,91
2021-3-4-4-5-55,62,31,93
2021-3-4-4-5-56,59,32,92
2021-3-4-4-5-57,56,32,91
2021-3-4-4-5-58,54,33,89
2021-3-4-4-5-59,56,34,91
2021-3-4-4-6-0,55,34,88
2021-3-4-4-6-1,52,36,88
2021-3-4-4-6-2,53,39,89
2021-3-4-4-6-3,55,39,87
2021-3-4-4-6-4,52,40,90
2021-3-4-4-6-5,50,41,90
2021-3-4-4-6-6,51,44,88
2021-3-4-4-6-7,52,42,90
2021-3-4-4-6-8,54,39,92
2021-3-4-4-6-9,55,42,94
2021-3-4-4-6-10,52,45,92
2021-3-4-4-6-11,51,44,94
2021-3-4-4-6-12,50,46,95
2021-3-4-4-6-13,49,49,98
2021-3-4-4-6-14,47,46,97
2021-3-4-4-6-15,45,46,97
2021-3-4-4-6-16,44,46,96
2021-3-4-4-6-17,44,44,94
2021-3-4-4-6-18,45,46,91
2021-3-4-4-6-19,48,48,90
2021-3-4-4-6-20,47,46,88
2021-3-4-4-6-21,46,49,89
2021-3-4-4-6-22,45,50,90
2021-3-4-4-6-23,46,52,93
2021-3-4-4-6-24,47,52,95
2021-3-4-4-6-25,48,52,98
2021-3-4-4-6-26,45,51,100
2021-3-4-4-6-27,44,53,97
2021-3-4-4-6-28,47,52,96
2021-3-4-4-6-29,44,49,97
2021-3-4-4-6-30,44,52,96
2021-3-4-4-6-31,42,49,99
2021-3-4-4-6-32,39,52,97
2021-3-4-4-6-33,41,54,94
2021-3-4-4-6-34,42,52,97
2021-3-4-4-6-35,40,49,95
2021-3-4-4-6-36,43,46,97
2021-3-4-4-6-37,46,45,97
2021-3-4-4-6-38,49,45,95
2021-3-4-4-6-39,52,46,95
2021-3-4-4-6-40,49,44,96
2021-3-4-4-6-41,52,47,98
2021-3-4-4-6-42,52,44,100
2021-3-4-4-6-43,49,45,98
2021-3-4-4-6-44,46,47,96
2021-3-4-4-6-45,43,48,96
2021-3-4-4-6-46,40,45,95
2021-3-4-4-6-47,42,48,98
2021-3-4-4-6-48,44,45,97
2021-3-4-4-6-49,45,48,100
2021-3-4-4-6-50,43,51,99
2021-3-4-4-6-51,45,49,97
2021-3-4-4-6-52,44,46,100
2021-3-4-4-6-53,43,47,97
2021-3-4-4-6-54,40,45,97
2021-3-4-4-6-55,38,42,98
2021-3-4-4-6-56,41,43,95
2021-3-4-4-6-57,39,44,95
2021-3-4-4-6-58,38,46,92
2021-3-4-4-6-59,39,48,92
2021-3-4-4-7-0,41,51,89
2021-3-4-4-7-1,38,51,87
2021-3-4-4-7-2,40,53,86
2021-3-4-4-7-3,37,55,88
2021-3-4-4-7-4,36,58,85
2021-3-4-4-7-5,33,58,87
2021-3-4-4-7-6,30,60,85
2021-3-4-4-7-7,32,60,87
2021-3-4-4-7-8,35,59,89
2021-3-4-4-7-9,33,62,89
2021-3-4-4-7-10,34,62,92
2021-3-4-4-7-11,35,61,89
2021-3-4-4-7-12,36,62,92
2021-3-4-4-7-13,37,61,90
2021-3-4-4-7-14,37,59,88
2021-3-4-4-7-15,40,58,88
2021-3-4-4-7-16,39,57,88
2021-3-4-4-7-17,41,60,90
2021-3-4-4-7-18,38,63,93
2021-3-4-4-7-19,39,64,95
2021-3-4-4-7-20,36,61,94
2021-3-4-4-7-21,34,64,96
2021-3-4-4-7-22,31,66,94
2021-3-4-4-7-23,32,68,94
2021-3-4-4-7-24,31,70,92
2021-3-4-4-7-25,28,67,92
2021-3-4-4-7-26,28,64,90
2021-3-4-4-7-27,26,67,87
2021-3-4-4-7-28,26,65,89
2021-3-4-4-7-29,29,68,91
2021-3-4-4-7-30,29,71,91
2021-3-4-4-7-31,27,73,88
2021-3-4-4-7-32,30,76,90
2021-3-4-4-7-33,27,78,88
2021-3-4-4-7-34,25,79,85
2021-3-4-4-7-35,23,81,85
2021-3-4-4-7-36,22,79,86
2021-3-4-4-7-37,24,81,84
2021-3-4-4-7-38,27,82,81
2021-3-4-4-7-39,24,81,84
2021-3-4-4-7-40,21,84,85
2021-3-4-4-7-41,24,82,84
2021-3-4-4-7-42,24,81,81
2021-3-4-4-7-43,26,84,79
2021-3-4-4-7-44,24,85,82
2021-3-4-4-7-45,22,86,85
2021-3-4-4-7-46,20,84,88
2021-3-4-4-7-47,22,83,91
2021-3-4-4-7-48,25,82,92
2021-3-4-4-7-49,26,84,91
2021-3-4-4-7-50,25,86,91
2021-3-4-4-7-51,23,84,91
2021-3-4-4-7-52,22,85,88
2021-3-4-4-7-53,21,87,89
2021-3-4-4-7-54,23,90,91
2021-3-4-4-7-55,25,93,93
2021-3-4-4-7-56,25,95,91
2021-3-4-4-7-57,24,95,89
2021-3-4-4-7-58,25,94,92
2021-3-4-4-7-59,26,91,93
2021-3-4-4-8-0,25,89,91
2021-3-4-4-8-1,26,90,90
2021-3-4-4-8-2,27,92,93
2021-3-4-4-8-3,29,90,91
2021-3-4-4-8-4,29,87,91
2021-3-4-4-8-5,27,90,90
2021-3-4-4-8-6,28,88,88
2021-3-4-4-8-7,27,87,85
2021-3-4-4-8-8,25,87,85
2021-3-4-4-8-9,22,85,87
2021-3-4-4-8-10,24,86,85
2021-3-4-4-8-11,27,85,84
2021-3-4-4-8-12,25,87,85
2021-3-4-4-8-13,25,84,84
2021-3-4-4-8-14,22,86,81
2021-3-4-4-8-15,21,84,82
2021-3-4-4-8-16,20,87,82
2021-3-4-4-8-17,20,90,81
2021-3-4-4-8-18,19,91,82
2021-3-4-4-8-19,20,88,85
2021-3-4-4-8-20,22,85,86
2021-3-4-4-8-21,21,85,87
2021-3-4-4-8-22,22,83,84
2021-3-4-4-8-23,23,85,83
2021-3-4-4-8-24,21,84,83
2021-3-4-4-8-25,21,83,81
2021-3-4-4-8-26,19,81,78
2021-3-4-4-8-27,22,82,75
2021-3-4-4-8-28,23,82,73
2021-3-4-4-8-29,23,83,75
2021-3-4-4-8-30,26,84,73
2021-3-4-4-8-31,23,85,70
2021-3-4-4-8-32,21,86,72
2021-3-4-4-8-33,19,86,71
2021-3-4-4-8-34,21,89,73
2021-3-4-4-8-35,20,87,73
2021-3-4-4-8-36,18,86,75
2021-3-4-4-8-37,16,87,73
2021-3-4-4-8-38,15,85,70
2021-3-4-4-8-39,17,86,73
2021-3-4-4-8-40,16,86,73
2021-3-4-4-8-41,17,83,75
2021-3-4-4-8-42,18,86,77
2021-3-4-4-8-43,18,84,80
2021-3-4-4-8-44,18,84,79
2021-3-4-4-8-45,16,86,79
2021-3-4-4-8-46,18,86,80
2021-3-4-4-8-47,15,84,81
2021-3-4-4-8-48,12,86,83
2021-3-4-4-8-49,12,88,81
2021-3-4-4-8-50,14,90,84
2021-3-4-4-8-51,13,89,81
2021-3-4-4-8-52,16,89,80
2021-3-4-4-8-53,14,86,77
2021-3-4-4-8-54,12,89,79
2021-3-4-4-8-55,10,87,76
2021-3-4-4-8-56,7,90,78
2021-3-4-4-8-57,8,90,77
2021-3-4-4-8-58,11,90,78
2021-3-4-4-8-59,13,91,77
2021-3-4-4-9-0,10,91,74
2021-3-4-4-9-1,7,93,74
2021-3-4-4-9-2,5,96,75
2021-3-4-4-9-3,5,96,73
2021-3-4-4-9-4,6,96,71
2021-3-4-4-9-5,3,97,72
2021-3-4-4-9-6,6,99,69
2021-3-4-4-9-7,6,100,66
2021-3-4-4-9-8,9,97,63
2021-3-4-4-9-9,9,99,61
2021-3-4-4-9-10,11,96,64
2021-3-4-4-9-11,12,98,63
2021-3-4-4-9-12,10,100,60
2021-3-4-4-9-13,11,98,59
2021-3-4-4-9-14,11,100,56
2021-3-4-4-9-15,12,97,58
2021-3-4-4-9-16,13,96,56
2021-3-4-4-9-17,15,97,53
2021-3-4-4-9-18,17,99,51
2021-3-4-4-9-19,16,98,54
2021-3-4-4-9-20,19,99,52
2021-3-4-4-9-21,18,100,49
2021-3-4-4-9-22,15,99,51
2021-3-4-4-9-23,15,100,50
2021-3-4-4-9-24,16,97,52
2021-3-4-4-9-25,14,96,50
2021-3-4-4-9-26,12,98,47
2021-3-4-4-9-27,13,95,49
2021-3-4-4-9-28,15,96,52
2021-3-4-4-9-29,16,98,49
2021-3-4-4-9-30,14,99,51
2021-3-4-4-9-31,15,100,51
2021-3-4-4-9-32,13,99,48
2021-3-4-4-9-33,13,100,51
2021-3-4-4-9-34,10,99,52
2021-3-4-4-9-35,13,99,52
2021-3-4-4-9-36,15,99,55
2021-3-4-4-9-37,18,97,55
2021-3-4-4-9-38,18,96,52
2021-3-4-4-9-39,18,97,49
2021-3-4-4-9-40,21,97,51
2021-3-4-4-9-41,19,98,52
2021-3-4-4-9-42,18,96,50
2021-3-4-4-9-43,19,94,50
2021-3-4-4-9-44,18,95,48
2021-3-4-4-9-45,15,93,45
2021-3-4-4-9-46,18,95,45
2021-3-4-4-9-47,16,98,48
2021-3-4-4-9-48,15,98,50
2021-3-4-4-9-49,18,98,48
2021-3-4-4-9-50,18,100,45
2021-3-4-4-9-51,17,99,46
2021-3-4-4-9-52,17,96,44
2021-3-4-4-9-53,20,99,43
2021-3-4-4-9-54,20,99,43
2021-3-4-4-9-55,17,100,42
2021-3-4-4-9-56,17,97,42
2021-3-4-4-9-57,15,97,45
2021-3-4-4-9-58,14,100,44
2021-3-4-4-9-59,14,99,47
2021-3-4-4-10-0,14,97,48
2021-3-4-4-10-1,15,95,50
2021-3-4-4-10-2,18,97,47
2021-3-4-4-10-3,17,95,45
2021-3-4-4-10-4,15,98,43
2021-3-4-4-10-5,13,99,44
2021-3-4-4-10-6,15,100,43
2021-3-4-4-10-7,13,98,42
2021-3-4-4-10-8,10,100,40
2021-3-4-4-10-9,11,97,39
2021-3-4-4-10-10,13,100,39
2021-3-4-4-10-11,14,98,38
2021-3-4-4-10-12,16,100,35
2021-3-4-4-10-13,17,98,37
2021-3-4-4-10-14,15,100,37
2021-3-4-4-10-15,16,99,36
2021-3-4-4-10-16,17,100,33
2021-3-4-4-10-17,15,97,30
2021-3-4-4-10-18,16,94,31
2021-3-4-4-10-19,18,92,29
2021-3-4-4-10-20,16,94,27
2021-3-4-4-10-21,18,94,26
2021-3-4-4-10-22,16,97,27
2021-3-4-4-10-23,15,96,28
2021-3-4-4-10-24,14,93,27
2021-3-4-4-10-25,11,96,28
2021-3-4-4-10-26,10,96,25
2021-3-4-4-10-27,13,95,28
2021-3-4-4-10-28,11,96,25
2021-3-4-4-10-29,14,95,26
2021-3-4-4-10-30,16,92,24
2021-3-4-4-10-31,16,89,24
2021-3-4-4-10-32,19,88,24
2021-3-4-4-10-33,18,91,27
2021-3-4-4-10-34,19,93,30
2021-3-4-4-10-35,21,94,31
2021-3-4-4-10-36,24,93,33
2021-3-4-4-10-37,24,94,30
2021-3-4-4-10-38,25,97,28
2021-3-4-4-10-39,22,97,26
2021-3-4-4-10-40,21,100,26
2021-3-4-4-10-41,21,99,28
2021-3-4-4-10-42,21,100,29
2021-3-4-4-10-43,18,99,28
2021-3-4-4-10-44,18,97,25
2021-3-4-4-10-45,16,97,25
2021-3-4-4-10-46,15,94,24
2021-3-4-4-10-47,16,96,22
2021-3-4-4-10-48,13,98,21
2021-3-4-4-10-49,14,100,24
2021-3-4-4-10-50,16,98,26
2021-3-4-4-10-51,14,100,29
2021-3-4-4-10-52,16,99,30
2021-3-4-4-10-53,15,98,27
2021-3-4-4-10-54,17,99,30
2021-3-4-4-10-55,17,96,32
2021-3-4-4-10-56,15,93,29
2021-3-4-4-10-57,13,96,30
2021-3-4-4-10-58,14,97,29
2021-3-4-4-10-59,15,99,32
2021-3-4-4-11-0,14,100,29
2021-3-4-4-11-1,17,97,30
2021-3-4-4-11-2,17,95,27
2021-3-4-4-11-3,17,96,28
2021-3-4-4-11-4,18,98,31
2021-3-4-4-11-5,15,97,28
2021-3-4-4-11-6,15,94,29
2021-3-4-4-11-7,17,92,31
2021-3-4-4-11-8,16,93,28
2021-3-4-4-11-9,19,91,31
2021-3-4-4-11-10,18,91,31
2021-3-4-4-11-11,15,90,34
2021-3-4-4-11-12,14,90,36
2021-3-4-4-11-13,17,89,39
2021-3-4-4-11-14,15,88,41
2021-3-4-4-11-15,12,90,39
2021-3-4-4-11-16,11,88,39
2021-3-4-4-11-17,14,87,42
2021-3-4-4-11-18,17,87,45
2021-3-4-4-11-19,17,87,46
2021-3-4-4-11-20,17,87,46
2021-3-4-4-11-21,18,86,45
2021-3-4-4-11-22,17,88,48
2021-3-4-4-11-23,15,88,46
2021-3-4-4-11-24,14,89,43
2021-3-4-4-11-25,12,90,41
2021-3-4-4-11-26,9,91,44
2021-3-4-4-11-27,8,91,41
2021-3-4-4-11-28,6,94,43
2021-3-4-4-11-29,8,96,46
2021-3-4-4-11-30,7,97,48
2021-3-4-4-11-31,8,95,47
2021-3-4-4-11-32,7,98,48
2021-3-4-4-11-33,9,96,47
2021-3-4-4-11-34,6,93,46
2021-3-4-4-11-35,3,93,49
2021-3-4-4-11-36,5,95,51
2021-3-4-4-11-37,2,92,49
2021-3-4-4-11-38,1,92,51
2021-3-4-4-11-39,2,94,53
2021-3-4-4-11-40,4,97,56
2021-3-4-4-11-41,6,94,53
2021-3-4-4-11-42,8,96,52
2021-3-4-4-11-43,7,94,50
2021-3-4-4-11-44,10,93,47
2021-3-4-4-11-45,8,95,44
2021-3-4-4-11-46,5,94,45
2021-3-4-4-11-47,8,91,48
2021-3-4-4-11-48,10,92,51
2021-3-4-4-11-49,7,94,53
2021-3-4-4-11-50,10,97,56
2021-3-4-4-11-51,10,94,56
2021-3-4-4-11-52,13,97,58
2021-3-4-4-11-53,14,97,60
2021-3-4-4-11-54,14,99,57
2021-3-4-4-11-55,15,100,60
2021-3-4-4-11-56,12,99,61
2021-3-4-4-11-57,12,98,58
2021-3-4-4-11-58,12,100,61
2021-3-4-4-11-59,15,98,59
2021-3-4-4-12-0,18,99,57
2021-3-4-4-12-1,20,100,58
2021-3-4-4-12-2,19,99,61
2021-3-4-4-12-3,18,100,62
2021-3-4-4-12-4,20,97,61
2021-3-4-4-12-5,21,94,64
2021-3-4-4-12-6,22,97,64
2021-3-4-4-12-7,20,97,65
2021-3-4-4-12-8,23,96,62
2021-3-4-4-12-9,26,93,60
2021-3-4-4-12-10,27,95,57
2021-3-4-4-12-11,29,97,58
2021-3-4-4-12-12,32,100,57
2021-3-4-4-12-13,29,97,56
2021-3-4-4-12-14,31,99,57
2021-3-4-4-12-15,29,100,54
2021-3-4-4-12-16,32,97,55
2021-3-4-4-12-17,29,95,56
2021-3-4-4-12-18,29,98,58
2021-3-4-4-12-19,31,95,56
2021-3-4-4-12-20,28,95,57
2021-3-4-4-12-21,28,96,54
2021-3-4-4-12-22,29,93,54
2021-3-4-4-12-23,31,95,53
2021-3-4-4-12-24,33,93,51
2021-3-4-4-12-25,36,90,52
2021-3-4-4-12-26,36,92,52
2021-3-4-4-12-27,34,93,49
2021-3-4-4-12-28,36,94,46
2021-3-4-4-12-29,35,92,49
2021-3-4-4-12-30,36,91,47
2021-3-4-4-12-31,33,93,45
2021-3-4-4-12-32,36,93,46
2021-3-4-4-12-33,34,95,44
2021-3-4-4-12-34,37,92,47
2021-3-4-4-12-35,37,94,46
2021-3-4-4-12-36,38,94,47
2021-3-4-4-12-37,40,93,47
2021-3-4-4-12-38,39,91,48
2021-3-4-4-12-39,36,89,49
2021-3-4-4-12-40,36,90,49
2021-3-4-4-12-41,33,87,50
2021-3-4-4-12-42,32,85,47
2021-3-4-4-12-43,32,85,48
2021-3-4-4-12-44,29,84,47
2021-3-4-4-12-45,26,86,47
2021-3-4-4-12-46,27,88,44
2021-3-4-4-12-47,27,91,45
2021-3-4-4-12-48,28,93,47
2021-3-4-4-12-49,30,92,44
2021-3-4-4-12-50,32,89,41
2021-3-4-4-12-51,34,89,42
2021-3-4-4-12-52,32,86,43
2021-3-4-4-12-53,33,85,40
2021-3-4-4-12-54,34,85,42
2021-3-4-4-12-55,37,83,39
2021-3-4-4-12-56,38,85,36
2021-3-4-4-12-57,36,82,35
2021-3-4-4-12-58,36,82,33
2021-3-4-4-12-59,37,80,36
2021-3-4-4-13-0,38,77,35
2021-3-4-4-13-1,39,76,38
2021-3-4-4-13-2,40,75,39
2021-3-4-4-13-3,40,73,38
2021-3-4-4-13-4,40,74,36
2021-3-4-4-13-5,39,72,39
2021-3-4-4-13-6,39,74,41
2021-3-4-4-13-7,36,73,41
2021-3-4-4-13-8,34,75,40
2021-3-4-4-13-9,34,75,40
2021-3-4-4-13-10,32,75,38
2021-3-4-4-13-11,35,75,41
2021-3-4-4-13-12,37,78,41
2021-3-4-4-13-13,34,81,39
2021-3-4-4-13-14,34,78,37
2021-3-4-4-13-15,37,75,35
2021-3-4-4-13-16,37,76,36
2021-3-4-4-13-17,35,78,37
2021-3-4-4-13-18,37,76,36
2021-3-4-4-13-19,34,73,36
2021-3-4-4-13-20,31,76,38
2021-3-4-4-13-21,31,73,40
2021-3-4-4-13-22,33,70,41
2021-3-4-4-13-23,31,70,43
2021-3-4-4-13-24,33,69,46
2021-3-4-4-13-25,36,66,45
2021-3-4-4-13-26,39,63,44
2021-3-4-4-13-27,41,60,41
2021-3-4-4-13-28,40,60,42
2021-3-4-4-13-29,42,58,43
2021-3-4-4-13-30,39,58,44
2021-3-4-4-13-31,37,56,46
2021-3-4-4-13-32,37,58,48
2021-3-4-4-13-33,40,57,49
2021-3-4-4-13-34,42,55,49
2021-3-4-4-13-35,40,58,47
2021-3-4-4-13-36,40,60,44
2021-3-4-4-13-37,38,63,41
2021-3-4-4-13-38,41,65,40
2021-3-4-4-13-39,41,63,37
2021-3-4-4-13-40,38,64,40
2021-3-4-4-13-41,37,67,38
2021-3-4-4-13-42,40,64,35
2021-3-4-4-13-43,42,65,33
2021-3-4-4-13-44,41,67,32
2021-3-4-4-13-45,40,64,34
2021-3-4-4-13-46,41,67,36
2021-3-4-4-13-47,40,66,38
2021-3-4-4-13-48,39,66,40
2021-3-4-4-13-49,40,64,39
2021-3-4-4-13-50,40,64,42
2021-3-4-4-13-51,38,64,45
2021-3-4-4-13-52,41,62,48
2021-3-4-4-13-53,39,60,47
2021-3-4-4-13-54,40,59,45
2021-3-4-4-13-55,37,57,48
2021-3-4-4-13-56,40,54,51
2021-3-4-4-13-57,41,57,54
2021-3-4-4-13-58,39,55,52
2021-3-4-4-13-59,41,53,52
2021-3-4-4-14-0,40,55,55
2021-3-4-4-14-1,43,56,57
2021-3-4-4-14-2,44,56,56
2021-3-4-4-14-3,45,53,55
2021-3-4-4-14-4,44,51,54
2021-3-4-4-14-5,44,51,52
2021-3-4-4-14-6,42,54,55
2021-3-4-4-14-7,42,55,54
2021-3-4-4-14-8,40,52,51
2021-3-4-4-14-9,42,51,49
2021-3-4-4-14-10,41,53,51
2021-3-4-4-14-11,43,55,50
2021-3-4-4-14-12,40,53,50
2021-3-4-4-14-13,39,56,47
2021-3-4-4-14-14,41,58,45
2021-3-4-4-14-15,41,57,48
2021-3-4-4-14-16,41,55,45
2021-3-4-4-14-17,43,53,48
2021-3-4-4-14-18,46,50,47
2021-3-4-4-14-19,43,51,49
2021-3-4-4-14-20,43,54,51
2021-3-4-4-14-21,42,57,54
2021-3-4-4-14-22,41,56,56
2021-3-4-4-14-23,43,53,56
2021-3-4-4-14-24,44,54,55
2021-3-4-4-14-25,42,53,54
2021-3-4-4-14-26,41,51,52
2021-3-4-4-14-27,38,51,55
2021-3-4-4-14-28,39,49,56
2021-3-4-4-14-29,42,51,59
2021-3-4-4-14-30,42,52,59
2021-3-4-4-14-31,43,55,59
2021-3-4-4-14-32,44,53,62
2021-3-4-4-14-33,41,52,62
2021-3-4-4-14-34,41,52,65
2021-3-4-4-14-35,42,53,63
2021-3-4-4-14-36,39,51,63
2021-3-4-4-14-37,37,48,65
2021-3-4-4-14-38,37,47,67
2021-3-4-4-14-39,38,44,70
2021-3-4-4-14-40,40,43,71
2021-3-4-4-14-41,39,42,70
2021-3-4-4-14-42,39,43,68
2021-3-4-4-14-43,38,44,70
2021-3-4-4-14-44,35,45,70
2021-3-4-4-14-45,35,44,73
2021-3-4-4-14-46,35,42,71
2021-3-4-4-14-47,35,41,70
2021-3-4-4-14-48,33,42,72
2021-3-4-4-14-49,32,43,73
2021-3-4-4-14-50,32,43,73
2021-3-4-4-14-51,29,42,74
2021-3-4-4-14-52,28,40,71
2021-3-4-4-14-53,31,43,71
2021-3-4-4-14-54,33,43,72
2021-3-4-4-14-55,31,45,72
2021-3-4-4-14-56,34,45,69
2021-3-4-4-14-57,32,42,71
2021-3-4-4-14-58,29,43,73
2021-3-4-4-14-59,27,45,74
2021-3-4-4-15-0,29,42,77
2021-3-4-4-15-1,31,43,78
2021-3-4-4-15-2,33,43,77
2021-3-4-4-15-3,35,41,76
2021-3-4-4-15-4,33,43,78
2021-3-4-4-15-5,36,45,81
2021-3-4-4-15-6,33,45,81
2021-3-4-4-15-7,33,42,81
2021-3-4-4-15-8,35,42,78
2021-3-4-4-15-9,35,41,75
2021-3-4-4-15-10,32,38,72
2021-3-4-4-15-11,32,35,71
2021-3-4-4-15-12,32,36,69
2021-3-4-4-15-13,29,39,66
2021-3-4-4-15-14,29,38,68
2021-3-4-4-15-15,28,35,67
2021-3-4-4-15-16,31,33,69
2021-3-4-4-15-17,28,33,66
2021-3-4-4-15-18,28,30,69
2021-3-4-4-15-19,27,29,66
2021-3-4-4-15-20,24,32,64
2021-3-4-4-15-21,24,30,64
2021-3-4-4-15-22,26,30,63
2021-3-4-4-15-23,29,31,66
2021-3-4-4-15-24,26,32,69
2021-3-4-4-15-25,26,30,68
2021-3-4-4-15-26,24,32,68
2021-3-4-4-15-27,25,31,66
2021-3-4-4-15-28,22,30,65
2021-3-4-4-15-29,24,28,68
2021-3-4-4-15-30,24,27,69
2021-3-4-4-15-31,25,25,66
2021-3-4-4-15-32,27,22,69
2021-3-4-4-15-33,26,19,68
2021-3-4-4-15-34,24,18,67
2021-3-4-4-15-35,27,20,65
2021-3-4-4-15-36,29,18,67
2021-3-4-4-15-37,30,18,67
2021-3-4-4-15-38,27,21,68
2021-3-4-4-15-39,29,19,65
2021-3-4-4-15-40,30,18,67
2021-3-4-4-15-41,27,20,70
2021-3-4-4-15-42,28,23,72
2021-3-4-4-15-43,31,25,71
2021-3-4-4-15-44,34,24,68
2021-3-4-4-15-45,31,23,69
2021-3-4-4-15-46,32,20,71
2021-3-4-4-15-47,29,17,73
2021-3-4-4-15-48,29,14,76
2021-3-4-4-15-49,26,15,75
2021-3-4-4-15-50,26,18,78
2021-3-4-4-15-51,28,20,77
2021-3-4-4-15-52,25,21,77
2021-3-4-4-15-53,24,19,79
2021-3-4-4-15-54,25,17,80
2021-3-4-4-15-55,27,14,77
2021-3-4-4-15-56,30,11,75
2021-3-4-4-15-57,32,11,73
2021-3-4-4-15-58,32,14,72
2021-3-4-4-15-59,29,17,72
2021-3-4-4-16-0,28,18,72
2021-3-4-4-16-1,31,18,72
2021-3-4-4-16-2,31,21,70
2021-3-4-4-16-3,34,21,67
2021-3-4-4-16-4,37,22,64
2021-3-4-4-16-5,34,24,66
2021-3-4-4-16-6,36,27,69
2021-3-4-4-16-7,37,24,68
2021-3-4-4-16-8,38,26,65
2021-3-4-4-16-9,37,24,66
2021-3-4-4-16-10,34,22,69
2021-3-4-4-16-11,34,22,67
2021-3-4-4-16-12,31,20,64
2021-3-4-4-16-13,32,20,65
2021-3-4-4-16-14,34,19,66
2021-3-4-4-16-15,31,16,69
2021-3-4-4-16-16,29,16,70
2021-3-4-4-16-17,31,17,67
2021-3-4-4-16-18,34,17,70
2021-3-4-4-16-19,36,14,73
2021-3-4-4-16-20,33,11,71
2021-3-4-4-16-21,35,9,69
2021-3-4-4-16-22,37,10,72
2021-3-4-4-16-23,40,7,74
2021-3-4-4-16-24,40,4,71
2021-3-4-4-16-25,38,1,73
2021-3-4-4-16-26,40,2,73
2021-3-4-4-16-27,37,2,76
2021-3-4-4-16-28,40,1,78
2021-3-4-4-16-29,40,0,78
2021-3-4-4-16-30,39,1,78
2021-3-4-4-16-31,36,0,81
2021-3-4-4-16-32,37,2,78
2021-3-4-4-16-33,36,5,77
2021-3-4-4-16-34,37,3,74
2021-3-4-4-16-35,39,6,75
2021-3-4-4-16-36,42,5,78
2021-3-4-4-16-37,42,4,76
2021-3-4-4-16-38,39,5,79
2021-3-4-4-16-39,38,2,81
2021-3-4-4-16-40,38,2,81
2021-3-4-4-16-41,41,4,79
2021-3-4-4-16-42,41,1,80
2021-3-4-4-16-43,42,3,80
2021-3-4-4-16-44,40,3,80
2021-3-4-4-16-45,37,3,78
2021-3-4-4-16-46,40,3,77
2021-3-4-4-16-47,40,0,79
2021-3-4-4-16-48,37,3,77
2021-3-4-4-16-49,38,0,74
2021-3-4-4-16-50,40,3,75
2021-3-4-4-16-51,41,5,78
2021-3-4-4-16-52,38,3,79
2021-3-4-4-16-53,38,6,76
2021-3-4-4-16-54,37,7,75
2021-3-4-4-16-55,34,9,78
2021-3-4-4-16-56,36,8,77
2021-3-4-4-16-57,39,11,74
2021-3-4-4-16-58,38,14,77
2021-3-4-4-16-59,38,15,79
2021-3-4-4-17-0,39,14,81
2021-3-4-4-17-1,36,17,82
2021-3-4-4-17-2,34,16,81
2021-3-4-4-17-3,34,18,82
2021-3-4-4-17-4,35,20,83
2021-3-4-4-17-5,36,23,83
2021-3-4-4-17-6,33,26,85
2021-3-4-4-17-7,34,29,83
2021-3-4-4-17-8,33,28,81
2021-3-4-4-17-9,31,25,80
2021-3-4-4-17-10,28,25,83
2021-3-4-4-17-11,27,25,84
2021-3-4-4-17-12,29,27,87
2021-3-4-4-17-13,31,29,85
2021-3-4-4-17-14,34,27,84
2021-3-4-4-17-15,31,27,82
2021-3-4-4-17-16,31,27,81
2021-3-4-4-17-17,29,28,79
